Gender,AgeGroup,Program,Income,State,Device,OS,Browser,option
0,3,E,405535,NA,Desktop,Windows,Opera,B
1,1,E,215774,NY,Mobile,Apple,Safari,B
1,3,A,101638,TX,Desktop,Apple,Chrome,A
0,6,C,334470,NY,Desktop,Apple,Chrome,A
1,4,E,342101,NA,Mobile,Apple,Safari,A
1,2,E,440747,NJ,Mobile,Apple,Chrome,A
0,0,A,364536,CA,Desktop,Windows,Safari,A
1,4,C,244161,CA,Desktop,Windows,Safari,A
1,3,E,101419,NY,Mobile,Apple,Chrome,A
1,2,C,332873,NY,Desktop,Apple,Safari,A
1,4,A,349680,NY,Desktop,Windows,Chrome,B
1,5,C,189039,CA,Mobile,Apple,Chrome,B
1,0,C,109786,NJ,Desktop,Apple,Chrome,B
0,3,D,142519,TX,Tablet,Windows,Chrome,A
1,1,D,368714,CA,Desktop,Apple,Safari,B
0,2,E,438640,NJ,Desktop,Apple,Chrome,A
0,4,E,133784,NY,Mobile,Apple,Safari,A
0,3,A,126726,CA,Mobile,Apple,Safari,A
1,3,E,477890,NY,Desktop,Windows,Chrome,B
1,3,E,396937,NY,Mobile,Windows,Chrome,A
1,2,D,211360,TX,Desktop,Apple,Chrome,B
0,3,D,51061,NJ,Desktop,Apple,Safari,A
0,3,E,405919,CA,Mobile,Apple,Chrome,B
0,6,E,481569,TX,Mobile,Windows,Safari,A
0,4,C,327180,NJ,Mobile,Apple,Chrome,B
1,3,E,315429,NY,Desktop,Windows,Chrome,B
0,4,E,370996,CA,Desktop,Windows,Chrome,B
0,4,D,409993,NY,Mobile,Apple,Chrome,B
1,0,E,470339,CA,Mobile,Windows,Chrome,A
0,2,D,370232,CA,Mobile,Windows,Safari,B
1,1,D,126739,NY,Desktop,Windows,Safari,A
0,3,B,348308,TX,Tablet,Apple,Chrome,A
0,2,E,171975,NJ,Desktop,Windows,Chrome,B
0,1,E,155361,CA,Mobile,Apple,Chrome,B
1,1,A,342906,CA,Mobile,Apple,Safari,A
1,3,E,58666,CA,Desktop,Windows,Safari,B
1,1,E,334349,NJ,Mobile,Windows,Chrome,A
1,6,B,487093,NY,Mobile,Windows,Safari,A
1,1,E,318780,TX,Mobile,Apple,Chrome,B
1,1,C,232605,CA,Tablet,Windows,Chrome,A
1,4,C,383211,CA,Mobile,Apple,Chrome,B
1,3,D,80433,NY,Desktop,Apple,Opera,A
0,4,E,69430,NJ,Mobile,Windows,Chrome,A
0,3,E,307407,TX,Desktop,Windows,Opera,A
1,3,D,101535,CA,Desktop,Apple,Chrome,A
1,3,A,428501,NJ,Mobile,Apple,Safari,A
1,4,A,294546,NJ,Tablet,Windows,Chrome,A
0,5,A,272491,NJ,Mobile,Windows,Chrome,A
1,1,A,75318,NA,Mobile,Apple,Chrome,A
1,3,C,222242,NY,Mobile,Windows,Opera,B
0,2,A,117491,CA,Mobile,Windows,Safari,B
0,4,A,478545,NY,Mobile,Windows,Opera,A
0,4,D,180777,CA,Desktop,Apple,Chrome,A
1,1,D,199985,CA,Desktop,Windows,Chrome,B
1,4,A,88868,CA,Mobile,Apple,Chrome,A
0,0,E,251769,NY,Mobile,Apple,Chrome,B
1,0,C,473842,NY,Mobile,Windows,Safari,A
0,3,D,419648,CA,Mobile,Windows,Chrome,A
1,5,C,412153,NJ,Desktop,Windows,Chrome,B
1,3,E,362458,NY,Mobile,Apple,Chrome,A
0,4,A,291466,NY,Desktop,Windows,Chrome,A
1,5,E,322267,NJ,Mobile,Windows,Safari,B
1,2,D,289340,NJ,Desktop,Windows,Chrome,B
1,2,E,133283,NY,Desktop,Apple,Opera,A
1,2,D,252600,CA,Mobile,Apple,Chrome,A
1,3,E,429269,CA,Desktop,Apple,Chrome,A
0,4,A,404977,NY,Mobile,Apple,Chrome,B
1,2,E,260503,CA,Mobile,Windows,Chrome,A
0,2,E,244074,CA,Desktop,Apple,Chrome,B
1,4,D,489336,TX,Mobile,Windows,Chrome,A
0,1,E,469071,CA,Desktop,Windows,Chrome,B
1,6,A,403464,TX,Tablet,Windows,Safari,A
1,2,E,244364,CA,Desktop,Apple,Chrome,B
1,4,E,477923,CA,Mobile,Apple,Chrome,B
0,1,D,95499,CA,Desktop,Apple,Chrome,A
1,1,E,134243,TX,Desktop,Windows,Chrome,A
0,2,E,488797,NJ,Desktop,Apple,Chrome,B
0,5,C,105367,CA,Mobile,Windows,Safari,A
1,6,E,375522,NY,Tablet,Apple,Safari,A
0,5,A,268407,CA,Desktop,Apple,Chrome,A
1,3,D,473938,NY,Mobile,Apple,Chrome,A
0,1,A,93681,CA,Mobile,Windows,Safari,A
0,1,D,127903,TX,Mobile,Windows,Chrome,A
1,3,D,358594,NJ,Desktop,Windows,Opera,B
0,3,D,285537,CA,Mobile,Apple,Safari,B
0,3,B,434422,TX,Desktop,Windows,Chrome,A
0,1,E,211196,CA,Desktop,Windows,Chrome,A
1,3,D,222633,CA,Mobile,Apple,Chrome,A
0,2,E,231022,CA,Mobile,Windows,Safari,A
1,5,D,267298,NY,Mobile,Windows,Safari,A
1,1,E,198377,CA,Mobile,Windows,Chrome,A
1,4,D,119386,NY,Desktop,Apple,Chrome,B
1,6,A,62888,TX,Mobile,Apple,Safari,B
1,1,C,364681,NY,Mobile,Apple,Safari,B
1,1,D,184838,NY,Mobile,Apple,Safari,A
1,2,B,351255,CA,Mobile,Windows,Chrome,A
1,1,B,226515,CA,Desktop,Apple,Chrome,A
0,2,E,229560,NJ,Mobile,Windows,Chrome,B
0,2,E,112722,NJ,Desktop,Windows,Chrome,A
0,3,D,287373,NY,Mobile,Apple,Chrome,B
0,4,E,157733,CA,Mobile,Windows,Chrome,A
0,1,A,144949,NA,Mobile,Apple,Chrome,A
0,0,E,332277,TX,Mobile,Windows,Safari,A
1,1,E,118067,NJ,Mobile,Apple,Chrome,A
1,3,C,186872,CA,Mobile,Windows,Chrome,A
0,4,D,273157,CA,Desktop,Windows,Chrome,B
1,6,D,219064,NJ,Desktop,Apple,Chrome,B
1,4,E,100721,NY,Desktop,Windows,Opera,A
1,1,A,321264,CA,Mobile,Windows,Chrome,A
1,1,E,179547,CA,Desktop,Windows,Chrome,A
1,4,E,316961,NY,Mobile,Windows,Chrome,A
0,5,E,228157,NJ,Mobile,Windows,Chrome,B
0,3,A,190821,NY,Mobile,Apple,Safari,B
0,3,A,54298,TX,Mobile,Apple,Chrome,A
0,2,D,172420,TX,Mobile,Windows,Chrome,B
0,3,C,175805,NJ,Mobile,Windows,Chrome,B
0,3,A,148762,NJ,Desktop,Windows,Chrome,A
1,2,A,391568,CA,Desktop,Windows,Safari,A
0,2,B,395546,NY,Mobile,Windows,Chrome,B
1,0,A,439380,NY,Mobile,Apple,Chrome,A
0,3,C,132847,NA,Mobile,Apple,Chrome,A
0,3,D,195336,NJ,Desktop,Apple,Chrome,B
1,3,B,98412,CA,Desktop,Apple,Chrome,B
1,5,E,217705,NJ,Mobile,Apple,Chrome,A
1,2,A,145949,CA,Mobile,Windows,Safari,A
0,1,E,211021,CA,Desktop,Apple,Safari,A
0,4,D,342742,NA,Desktop,Windows,Opera,B
0,1,E,237400,CA,Desktop,Apple,Chrome,B
0,4,E,307636,NY,Mobile,Windows,Safari,A
0,3,A,493110,CA,Desktop,Windows,Safari,A
0,3,D,147303,NJ,Mobile,Apple,Chrome,B
1,0,D,169568,NY,Desktop,Windows,Chrome,B
1,3,A,468309,CA,Mobile,Apple,Safari,A
1,2,D,95178,NY,Desktop,Windows,Chrome,B
0,0,D,272198,CA,Tablet,Windows,Safari,A
1,2,E,325222,CA,Mobile,Apple,Chrome,A
1,5,D,438167,CA,Tablet,Apple,Chrome,B
0,2,C,344894,NJ,Mobile,Windows,Chrome,B
1,2,A,380574,NY,Mobile,Apple,Chrome,B
1,3,E,143454,CA,Mobile,Windows,Safari,A
0,5,C,126400,CA,Mobile,Apple,Chrome,A
0,3,E,440031,TX,Desktop,Apple,Chrome,B
0,3,E,216353,CA,Mobile,Apple,Opera,B
1,4,C,142938,CA,Desktop,Windows,Chrome,B
0,1,C,340364,NJ,Mobile,Windows,Opera,B
0,2,E,369245,CA,Desktop,Windows,Safari,A
0,5,E,478745,CA,Tablet,Windows,Safari,B
0,1,E,124519,CA,Mobile,Windows,Chrome,B
1,2,D,183800,NY,Mobile,Windows,Chrome,B
1,2,D,392771,NJ,Mobile,Windows,Chrome,B
0,4,E,67035,CA,Mobile,Apple,Safari,B
0,6,E,478765,NY,Mobile,Windows,Safari,A
0,6,E,349064,TX,Desktop,Apple,Safari,B
0,6,D,286000,NY,Mobile,Apple,Chrome,B
0,5,A,318430,TX,Desktop,Windows,Opera,A
1,5,D,497249,CA,Desktop,Apple,Chrome,B
0,4,C,250448,NA,Mobile,Apple,Chrome,B
